x,glucose_b,glucose_a
0.009,4.9311,4.9781
0.06,4.9279,4.9771
0.983,4.8591,4.9251
1.033,4.8543,4.9182
1.957,4.7677,4.7281
2.059,4.7609,4.7082
2.854,4.7082,4.6037
3.084,4.6693,4.5818
3.981,4.3878,4.4858
4.008,4.3809,4.482
5.032,4.263,4.3351
5.033,4.263,4.335
5.955,4.1975,4.2533
6.005,4.2448,4.2762
7.03,4.1845,4.1519
7.184,4.1743,4.1386
15.945,3.5365,3.395
15.972,3.5345,3.3923
17.995,3.3138,3.0682
18.023,3.3088,3.0647
21.969,2.6682,2.7045
22.097,2.6455,2.6889
25.995,1.9641,2.0408
26.019,1.9614,2.0362
29.992,1.8667,1.4793
30.015,1.8662,1.4768
37.98,1.5132,0.6156
37.988,1.5127,0.6148
42.035,1.1569,0.3072
42.079,1.1531,0.3062
47.997,0.7538,0.2687
48.052,0.7504,0.2686
