x,hydrogen_b,hydrogen_a
0,0,0
2.78118e-05,0.0043,0.0045
1.025,0.0344,0.0115
1.204,0.0439,0.0126
1.973,0.0818,0.018
2.536,0.0847,0.0252
2.895,0.0989,0.036
3.202,0.127,0.051
3.972,0.2027,0.0762
3.996,0.2041,0.0768
5.047,0.2024,0.1025
5.047,0.2024,0.1025
5.944,0.2455,0.1307
6.174,0.3365,0.1151
6.97,0.3798,0.1341
7.147,0.3883,0.1495
16.014,0.7154,0.969
16.041,0.7161,0.9716
17.963,0.7616,1.1751
18.012,0.7668,1.1788
21.987,1.1085,1.4864
22.061,1.1129,1.4929
26.011,1.2107,1.9236
26.058,1.2114,1.9303
30.036,1.3684,2.387
30.08,1.3707,2.3903
37.972,1.7414,2.8062
38.082,1.7455,2.8098
42.027,1.7922,2.8649
42.045,1.7921,2.8654
47.886,1.8075,3.1673
48.099,1.8085,3.1798
