x,glucose_a,glucose_b
0.009,4.9781,4.9311
0.06,4.9771,4.9279
0.983,4.9251,4.8591
1.033,4.9182,4.8543
1.957,4.7281,4.7677
2.059,4.7082,4.7609
2.854,4.6037,4.7082
3.084,4.5818,4.6693
3.981,4.4858,4.3878
4.008,4.482,4.3809
5.032,4.3351,4.263
5.033,4.335,4.263
5.955,4.2533,4.1975
6.005,4.2762,4.2448
7.03,4.1519,4.1845
7.184,4.1386,4.1743
15.945,3.395,3.5365
15.972,3.3923,3.5345
17.995,3.0682,3.3138
18.023,3.0647,3.3088
21.969,2.7045,2.6682
22.097,2.6889,2.6455
25.995,2.0408,1.9641
26.019,2.0362,1.9614
29.992,1.4793,1.8667
30.015,1.4768,1.8662
37.98,0.6156,1.5132
37.988,0.6148,1.5127
42.035,0.3072,1.1569
42.079,0.3062,1.1531
47.997,0.2687,0.7538
48.052,0.2686,0.7504
